ranking,nombre,n,porcentaje,porcentaje_acum,año,sexo
 58,AARON,11, 0.34,63.44,2016,m
 53,AARON,14, 0.41,63.92,2015,m
 54,AARON,15, 0.44,62.63,2014,m
 69,AARON,10, 0.29,69.39,2013,m
 62,AARON,12, 0.30,68.24,2012,m
 49,AARON,18, 0.44,64.55,2011,m
 47,AARON,21, 0.53,64.10,2010,m
 42,AARON,25, 0.59,61.81,2009,m
 37,AARON,29, 0.69,58.91,2008,m
 50,AARON,18, 0.44,66.76,2007,m
 46,AARON,21, 0.53,66.34,2006,m
 88,ABEL,6, 0.19,71.59,2016,m
 64,ABEL,11, 0.33,68.03,2015,m
 106,ABEL,6, 0.18,76.96,2014,m
 80,ABEL,8, 0.23,72.41,2013,m
 73,ABEL,10, 0.25,71.46,2012,m
 70,ABEL,11, 0.27,71.79,2011,m
 71,ABEL,11, 0.28,73.12,2010,m
 108,ABEL,5, 0.12,81.31,2009,m
 71,ABEL,11, 0.26,73.17,2008,m
 62,ABEL,13, 0.32,71.37,2007,m
 85,ABEL,7, 0.18,78.32,2006,m
 98,ABRAHAM,5, 0.16,73.43,2016,m
 100,ABRAHAM,5, 0.15,76.55,2015,m
 81,ABRAHAM,8, 0.23,72.64,2013,m
 74,ABRAHAM,10, 0.25,71.72,2012,m
 91,ABRAHAM,7, 0.16,78.83,2009,m
 103,ABRAHAM,5, 0.12,79.24,2008,m
 80,ABRAHAM,8, 0.19,76.34,2007,m
 104,ABRAHAM,5, 0.13,81.24,2006,m
 92,ABRIL,7, 0.19,74.15,2006,f
 93,ABRIL,7, 0.17,72.16,2008,f
 92,ABRIL,7, 0.18,71.04,2010,f
 78,ABRIL,9, 0.25,69.08,2012,f
 105,ABRIL,5, 0.15,74.46,2013,f
 64,ABRIL,8, 0.26,66.04,2015,f
 66,ABRIL,10, 0.32,62.44,2016,f
 81,ADAM,7, 0.22,70.08,2016,m
 75,ADAM,9, 0.26,71.12,2013,m
 98,ADAM,7, 0.18,76.86,2012,m
 97,ADAM,6, 0.14,79.79,2009,m
 104,ADAM,5, 0.12,79.36,2008,m
 110,ADAN,5, 0.15,77.64,2014,m
 102,ADAN,6, 0.15,80.36,2007,m
 105,ADOLFO,5, 0.12,79.48,2008,m
 11,ADRIAN,55, 1.73,27.47,2016,m
 7,ADRIAN,73, 2.16,19.25,2015,m
 11,ADRIAN,60, 1.76,26.91,2014,m
 10,ADRIAN,62, 1.82,24.83,2013,m
 6,ADRIAN,100, 2.52,16.81,2012,m
 7,ADRIAN,109, 2.69,20.82,2011,m
 7,ADRIAN,94, 2.38,19.05,2010,m
 4,ADRIAN,124, 2.91,12.63,2009,m
 7,ADRIAN,115, 2.74,21.23,2008,m
 7,ADRIAN,106, 2.58,20.74,2007,m
 2,ADRIAN,129, 3.24,7.46,2006,m
 24,ADRIANA,36, 0.97,46.16,2006,f
 27,ADRIANA,32, 0.83,48.27,2007,f
 22,ADRIANA,39, 0.94,41.13,2008,f
 17,ADRIANA,47, 1.16,35.19,2009,f
 14,ADRIANA,46, 1.21,29.3,2010,f
 9,ADRIANA,69, 1.85,22.72,2011,f
 16,ADRIANA,45, 1.23,32.94,2012,f
 28,ADRIANA,32, 0.98,45.34,2013,f
 18,ADRIANA,41, 1.29,34.32,2014,f
 14,ADRIANA,44, 1.43,27.91,2015,f
 28,ADRIANA,27, 0.86,42.22,2016,f
 109,AFRICA,5, 0.13,76.65,2006,f
 85,AFRICA,8, 0.21,72.87,2007,f
 106,AFRICA,6, 0.14,74.33,2008,f
 80,AFRICA,8, 0.20,69.26,2009,f
 93,AFRICA,7, 0.18,71.23,2010,f
 81,AFRICA,8, 0.21,69.65,2011,f
 85,AFRICA,8, 0.22,70.75,2012,f
 86,AFRICA,6, 0.18,71.18,2013,f
 90,AFRICA,6, 0.19,72.05,2014,f
 82,AFRICA,6, 0.20,70.33,2015,f
 70,AIDA,11, 0.30,69.13,2006,f
 100,AIDA,6, 0.16,75.69,2007,f
 107,AIDA,6, 0.14,74.47,2008,f
 82,AIDA,8, 0.21,68.97,2010,f
 85,AIDA,7, 0.19,70.48,2011,f
 101,AIMAR,5, 0.15,76.69,2015,m
 32,AINARA,25, 0.67,52.55,2006,f
 40,AINARA,21, 0.54,57.12,2007,f
 33,AINARA,30, 0.72,50.52,2008,f
 45,AINARA,21, 0.52,57.56,2009,f
 32,AINARA,30, 0.79,47.41,2010,f
 42,AINARA,19, 0.51,56.22,2011,f
 37,AINARA,24, 0.66,53.08,2012,f
 36,AINARA,27, 0.83,52.45,2013,f
 48,AINARA,17, 0.53,60.79,2014,f
 46,AINARA,16, 0.52,59.34,2015,f
 57,AINARA,12, 0.38,59.3,2016,f
 116,AINHARA,5, 0.13,75.08,2010,f
 42,AINHOA,18, 0.48,58.09,2006,f
 29,AINHOA,30, 0.78,49.86,2007,f
 53,AINHOA,16, 0.39,60.78,2008,f
 31,AINHOA,33, 0.81,48.77,2009,f
 46,AINHOA,21, 0.55,56.63,2010,f
 34,AINHOA,26, 0.70,51.52,2011,f
 35,AINHOA,27, 0.74,51.71,2012,f
 39,AINHOA,25, 0.77,54.78,2013,f
 46,AINHOA,19, 0.60,59.69,2014,f
